0.530307048,3.574,436,10.231
0.528876666,3.553,433.5,10.3249
0.528457433,3.544,433,10.4598
0.527927357,3.514,433.5,10.5009
0.531716914,3.525,429,10.4716
0.528178313,3.485,432,10.4422
0.525265259,3.456,434,10.0902
0.521349252,3.454,439.1,10.1372
0.520969002,3.452,440,10.1489
0.523889355,3.471,438,9.96118
0.521975154,3.471,440.5,10.1313
0.523067266,3.449,437.5,10.0609
0.524603924,3.442,442.5,10.1196
0.524906829,3.423,436,10.0902
0.52443885,3.398,436.9,10.055
0.523999162,3.393,439,9.97291
0.527648797,3.396,435.5,10.0198
0.528597103,3.381,433.5,9.94358
0.525845296,3.402,435.1,9.62093
0.525292851,3.389,435.8,9.61506
0.529016558,3.425,435.3,9.72653
0.530194581,3.418,431.6,9.60333
0.531180283,3.369,431.8,9.66786
0.534045394,3.323,432.9,9.42147
0.536595836,3.328,427.2,9.42147
0.540862134,3.304,425.7,9.45667
0.544276928,3.312,424.9,9.4684
0.545345476,3.307,424,9.5388
0.543537341,3.286,426.8,9.57987
0.544573327,3.303,426.1,9.73239
0.547225566,3.37,422.9,9.75586
0.54635852,3.353,422.6,9.69133
0.547225566,3.299,423.7,9.74999
0.545940929,3.29,424.8,9.60333
0.549359996,3.312,423.2,9.65026
0.547915183,3.319,425.8,9.97291
0.548395942,3.333,423.8,10.1196
0.550145789,3.28,422.6,10.4774
0.552120141,3.247,420.8,10.3836
0.550842789,3.219,427.3,10.5713
0.550903482,3.221,427.8,10.5713
0.548095369,3.214,431.5,10.4716
0.544959128,3.163,424.6,10.3836
0.54836587,3.123,428.8,10.3836
0.549118665,3.127,429,10.3953
0.552181115,3.136,432.4,10.5596
0.553464689,3.171,434.6,10.7297
0.553464689,3.195,432.2,10.8177
0.548726953,3.271,433.9,10.9937
0.54866674,3.315,441,11.0582
0.546089996,3.282,443.1,11.0289
0.548095369,3.295,443.8,11.0523
0.546687076,3.214,444.3,10.9702
0.548998079,3.143,443.5,10.9174
0.550782111,3.153,446.9,10.7942
0.548245614,3.127,445.5,10.6182
0.546657191,3.114,445.3,10.5126
